1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Transaction Id,Group Id,Loan Id,Prospectus Loan Id,Original Note Amount,Original Term Of Loan,Original Amortization Term,Original Note Rate,Original Payment Rate,First Loan Payment Due Date,Grace Days Allowed,Interest Only (Y/N),Balloon  (Y/N),Interest Rate Type,Interest Accrual Method,Interest in Arrears,Payment Type Code,Prepayment Lock-out End Date,Yield Maintenance End Date,Prepayment Premium  End Date,Prepayment Terms Description,ARM Index Code,First Rate Adjustment Date,First Payment Adjustment Date,ARM Margin,Lifetime Rate Cap,Lifetime Rate Floor,Periodic Rate Increase Limit,Periodic Rate Decrease Limit,Periodic Pay Adjustment Max-%,Periodic Pay Adjustment Max-$,Payment Frequency,Rate Reset Frequency,Pay Reset Frequency,Rounding Code,Rounding Increment,Index Look Back in Days,Negative Amortization Allowed (Y/N),Max Neg Allowed (% of Orig Bal),Maximum Negate Allowed ($),Remaining Term At Contribution,Remaining Amort Term At Contribution,Maturity Date At Contribution,Scheduled Principal Balance At Contribution,Note Rate At Contribution,Servicer and Trustee Fee Rate,Fee Rate / Strip Rate 1,Fee Rate / Strip Rate 2,Fee Rate / Strip Rate 3,Fee Rate / Strip Rate 4,Fee Rate / Strip Rate 5,Net Rate At Contribution,Periodic P&I Payment At Contribution,# of Properties at Contribution,Property Name,Property Address,Property City,Property State,Property Zip Code,Property County,Property Type Code,Net Rentable Square Feet At Contribution,# of Units/Beds/Rooms At Contribution,Year Built,NOI At Contribution,DSCR (NOI) At Contribution,Appraisal Value At Contribution,Appraisal Date At Contribution,Physical Occupancy At Contribution,Revenue At Contribution,Operating Expenses At Contribution,Contribution Financials As Of Date,Recourse (Y/N),EMPTY FIELD,Cross-Collateralized Loan Grouping,Collection Of Escrows (Y/N),Collection of Other Reserves (Y/N),Lien Position At Contribution,Hyper Amortizing Begin Date,Defeasance Option Start Date,EMPTY FIELD,Last Setup Change Date,NCF At Contribution,DSCR (NCF) at Contribution,DSCR Indicator at Contribution,Loan Contributor to Securitization,Credit Tenant Lease,Financial Information Submission Penalties,Additional Financing Indicator,Loan Structure Code
MSBAM15C26,,304971019,19,16000000,120,300,0.0455,0.0455,20151201,7,N,Y,1,3,Y,2,20171130,,,LO(24);DEF(93);O(3),,,,,,,,,,,1,,,,,,N,,,120,300,20251101,16000000,0.0455,0.000161,,,,,0.000005,0.045334,89387.89,1,"Hampton Inn & Suites Roanoke, VA",5033 Valley View Boulevard,Roanoke,VA,24012,Roanoke City,LO,,130,2014,2361386,,28400000,20150617,0.85,4764285,2402899,,N,,,Y,Y,1,,20171201,,20151112,2170814.6,,,CIBC,,,0,WL
MSBAM15C26,,304971020,20,15500000,120,300,0.0478,0.0478,20151201,7,N,Y,1,3,Y,2,20171130,,,LO(24);DEF(93);O(3),,,,,,,,,,,1,,,,,,N,,,120,300,20251101,15500000,0.0478,0.000161,,,,,0.000005,0.047634,88635.85,1,Hampton Inn & Suites Charlotte Airport,2731 Little Rock Road,Charlotte,NC,28214,Mecklenburg,LO,,109,2009,1825891.24,,23100000,20150818,0.89,4255058.36,2429167.12,,N,,,Y,N,1,,20171201,,20151112,1655688.91,,,CIBC,,,0,WL
MSBAM15C26,,300801359,21,15050000,120,0,0.0455,0.0455,20151001,5,Y,Y,1,3,Y,3,20171130,20250228,,LO(26);YM1(87);O(7),,,,,,,,,,,1,,,,,,N,,,118,0,20250901,15050000,0.0455,0.000161,,,,,0.000005,0.045334,57064.58,1,Eaton Village Apartments,100 Penzance Avenue,Chico ,CA,95973,Butte,MF,,160,2006,1389104,,23200000,20150526,0.98,2219360,830256,,N,,,Y,N,1,,,,20151112,1349104,,,BANA,,,0,WL
MSBAM15C26,,1544887,22,14700000,120,360,0.0433,0.0433,20150901,0,N,Y,1,3,Y,2,20171130,,,LO(27);DEF(89);O(4),,,,,,,,,,,1,,,,,,N,,,117,357,20250801,14643439.62,0.0433,0.000161,,,,,0.000005,0.043134,73005.29,1,Crossroads Center I & II,3280-3282 Gateway Street,Springfield,OR,97477,Lane,RT,98342,,2005; 2007,1616566.04,,24350000,20150608,1,2025208.72,408642.68,,N,,,Y,Y,1,,20171201,,20151112,1589704.86,,,MSMCH,,,0,WL
MSBAM15C26,,300801348,23,14200000,120,360,0.04466,0.04466,20151001,5,N,Y,1,3,Y,2,20171130,20250430,,LO(26);DEF/YM1(89);O(5),,,,,,,,,,,1,,,,,,N,,,118,358,20250901,14164059.11,0.04466,0.000161,,,,,0.000005,0.044494,71662.73,1,405 Corporate Center,301 116th Avenue Southeast,Bellevue,WA,98044,King,OF,67697,,1979,1238877,,22900000,20150706,0.91,1855612,616735,,N,,,Y,N,1,,20171201,,20151112,1132213,,,BANA,,,0,WL
MSBAM15C26,,300801345,24,13250000,120,360,0.04468,0.04468,20151001,5,Y,Y,1,3,Y,5,20171130,,,LO(26);DEF(87);O(7),,,20201001,,,,,,,,1,,,,,,N,,,118,360,20250901,13250000,0.04468,0.000161,,,,,0.000005,0.044514,49334.17,1,American Fork Shopping Center,648 East State Road,American Fork,UT,84003,Utah,RT,148180,,1981,1316054,,18000000,20150901,0.95,1626237,310183,,N,,,Y,Y,1,,20171201,,20151112,1200029,,,BANA,,,0,WL
MSBAM15C26,,695100579,25,11606250,120,360,0.0478,0.0478,20151106,0,Y,Y,1,3,Y,5,20171205,,,LO(25);DEF(91);O(4),,,20181106,,,,,,,,1,,,,,,N,,,119,360,20251006,11606250,0.0478,0.000661,,,,,0.000005,0.047134,46231.56,1,Summit Center Commerce Park,2720-2780 Rasmussen Road,Park City,UT,84060,Summit,MU,76830,,2007-2008,1105179.11,,15800000,20150826,0.92,1595363.05,490183.94,,N,,,Y,Y,1,,20171206,,20151112,1012983.11,,,SMF III,,,0,WL
MSBAM15C26,,695100584,26,11250000,120,360,0.04473,0.04473,20151106,0,Y,Y,1,3,Y,5,20161005,20250605,,LO(11);YM1(14);DEF/YM1(90);O(5),,,20181106,,,,,,,,1,,,,,,N,,,119,360,20251006,11250000,0.04473,0.000161,,,,,0.000005,0.044564,41934.38,1,Oglethorpe Office Park,400-460 Mall Blvd,Savannah,GA,31406,Chatham,OF,118990,,1971,1305258.6,,15350000,20150813,0.97,2383467.56,1078208.96,,N,,,Y,N,1,,20161006,,20151112,1216014.6,,,SMF III,,,0,WL
MSBAM15C26,,304971027,27,11000000,120,360,0.0422,0.0422,20150801,0,Y,Y,1,3,Y,5,20171130,,,LO(28);DEF(85);O(7),,,20200801,,,,,,,,1,,,,,,N,,,116,360,20250701,11000000,0.0422,0.000561,,,,,0.000005,0.041634,38683.33,1,Sedona Ranch,2901 Sunset Drive,San Angelo,TX,76904,Tom Green,MF,,304,1978 and 1980,1446297.22,,17600000,20150518,0.89,2517215.9,1070918.68,,N,,,Y,Y,1,,20171201,,20151112,1355097.22,,,MSMCH,,,0,WL
MSBAM15C26,,304971028,28,11000000,120,360,0.046,0.046,20150801,7,N,Y,1,3,Y,2,20171130,,,LO(28);DEF(88);O(4),,,,,,,,,,,1,,,,,,N,,,116,356,20250701,10947012.09,0.046,0.000161,,,,,0.000005,0.045834,56390.88,1,Shadelands Medical Office,2621-2625 Shadelands Drive,Walnut Creek,CA,94598,Contra Costa,OF,60000,,1978,1039782,,16400000,20150506,0.98,1683237,643455,,N,,,Y,Y,1,,20171201,,20151112,940782,,,CIBC,,,0,WL
