1,2,3,4,5,6,7,8,9
Tran ID,Loan ID,Prop ID,Begin yyyyMMdd,Ending yyyyMMdd,Data Type,Stmt Type,Category,Amount
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,BOR,400PROFESS,3000.00
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,ADJ,400PROFESS,1000.00
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,NOR,400PROFESS,4000.00
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,BOR,410GENERAL,6590.00
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,ADJ,410GENERAL,2196.67
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,NOR,410GENERAL,8786.67
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,BOR,440OTHEREX,0.00
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,ADJ,440OTHEREX,0.00
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,NOR,440OTHEREX,0.00
 CGCMT16P5,030311403,06A2-001,20150901,20160803,UB,BOR,160OTHERIN,22427857.00
 CGCMT16P5,030311403,06A2-001,20150901,20160803,UB,BOR,440OTHEREX,9412556.00
 CGCMT16P5,030311403,06A2-001,20150901,20160803,UB,BOR,500TENANTI,941948.00
 CGCMT16P5,030311403,06A2-001,20150901,20160803,UB,BOR,510CAPEX,104561.00
 CGCMT16P5,030311405,06A4-001,20150901,20160803,UB,BOR,160OTHERIN,22427857.00
 CGCMT16P5,030311405,06A4-001,20150901,20160803,UB,BOR,440OTHEREX,9412556.00
 CGCMT16P5,030311405,06A4-001,20150901,20160803,UB,BOR,500TENANTI,941948.00
 CGCMT16P5,030311405,06A4-001,20150901,20160803,UB,BOR,510CAPEX,104561.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,BOR,030BASERNT,2824630.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,ADJ,030BASERNT,0.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,NOR,030BASERNT,2824630.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,BOR,040EXPREMB,442667.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,ADJ,040EXPREMB,0.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,NOR,040EXPREMB,442667.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,BOR,160OTHERIN,402680.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,ADJ,160OTHERIN,-204852.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,NOR,160OTHERIN,197828.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,BOR,310RETAXES,417947.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,ADJ,310RETAXES,0.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,NOR,310RETAXES,417947.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,BOR,320PROPINS,25610.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,ADJ,320PROPINS,0.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,NOR,320PROPINS,25610.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,BOR,330UTILITI,28312.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,ADJ,330UTILITI,0.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,NOR,330UTILITI,28312.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,BOR,340REPAIRS,966665.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,ADJ,340REPAIRS,0.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,NOR,340REPAIRS,966665.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,BOR,350JANITOR,264499.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,ADJ,350JANITOR,0.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,NOR,350JANITOR,264499.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,BOR,370MANAGEM,146799.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,ADJ,370MANAGEM,-8194.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,NOR,370MANAGEM,138605.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,BOR,410GENERAL,142827.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,ADJ,410GENERAL,0.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,NOR,410GENERAL,142827.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,BOR,490LEASING,0.00
