1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Transaction Id,Group Id,Loan Id,Prospectus Loan Id,Original Note Amount,Original Term Of Loan,Original Amortization Term,Original Note Rate,Original Payment Rate,First Loan Payment Due Date,Grace Days Allowed,Interest Only (Y/N),Balloon  (Y/N),Interest Rate Type,Interest Accrual Method,Interest in Arrears,Payment Type Code,Prepayment Lock-out End Date,Yield Maintenance End Date,Prepayment Premium  End Date,Prepayment Terms Description,ARM Index Code,First Rate Adjustment Date,First Payment Adjustment Date,ARM Margin,Lifetime Rate Cap,Lifetime Rate Floor,Periodic Rate Increase Limit,Periodic Rate Decrease Limit,Periodic Pay Adjustment Max-%,Periodic Pay Adjustment Max-$,Payment Frequency,Rate Reset Frequency,Pay Reset Frequency,Rounding Code,Rounding Increment,Index Look Back in Days,Negative Amortization Allowed (Y/N),Max Neg Allowed (% of Orig Bal),Maximum Negate Allowed ($),Remaining Term At Contribution,Remaining Amort Term At Contribution,Maturity Date At Contribution,Scheduled Principal Balance At Contribution,Note Rate At Contribution,Servicer and Trustee Fee Rate,Fee Rate / Strip Rate 1,Fee Rate / Strip Rate 2,Fee Rate / Strip Rate 3,Fee Rate / Strip Rate 4,Fee Rate / Strip Rate 5,Net Rate At Contribution,Periodic P&I Payment At Contribution,# of Properties at Contribution,Property Name,Property Address,Property City,Property State,Property Zip Code,Property County,Property Type Code,Net Rentable Square Feet At Contribution,# of Units/Beds/Rooms At Contribution,Year Built,NOI At Contribution,DSCR (NOI) At Contribution,Appraisal Value At Contribution,Appraisal Date At Contribution,Physical Occupancy At Contribution,Revenue At Contribution,Operating Expenses At Contribution,Contribution Financials As Of Date,Recourse (Y/N),EMPTY FIELD,Cross-Collateralized Loan Grouping,Collection Of Escrows (Y/N),Collection of Other Reserves (Y/N),Lien Position At Contribution,Hyper Amortizing Begin Date,Defeasance Option Start Date,EMPTY FIELD,Last Setup Change Date,NCF At Contribution,DSCR (NCF) at Contribution,DSCR Indicator at Contribution,Loan Contributor to Securitization,Credit Tenant Lease,Financial Information Submission Penalties,Additional Financing Indicator,Loan Structure Code
CGCMT14GC19,,301670019,19,13500000,120,360,0.0531,0.0531,20140201,0,N,Y,1,3,Y,2,20160331,,,Lockout/26_Defeasance/90_0%/4,,,,,,,,,,,1,,,,,,N,,,118,360,20240101,13467328.77,0.0531,0.0006275,,,,,0.000005,0.0524675,75049.98,1,Festival Plaza,7915 - 7995 Vaughn Road,Montgomery,Alabama,36116,Incomplete,RT,108356,,2000,1449394,0.11,18100000,20131120,0.88,1940192,490798,,N,,,Y,Y,1,,20160401,,20140320,1310210,1.45,,"RAIT Funding, LLC",N,,0,WL
CGCMT14GC19,,623100059,20,12750000,120,360,0.0551,0.0551,20140206,0,Y,Y,1,3,Y,5,20160405,,,Lockout/26_Defeasance/90_0%/4,,,20150206,,,,,,,,1,,,,,,N,,,118,360,20240106,12750000,0.0551,0.0001275,,,,,0.000005,0.0549675,60495.21,1,1415 North Loop West,1415 North Loop West,Houston,Texas,77008,Incomplete,OF,157794,,1982,1330396,0.1,18500000,20131030,0.9,2403502,1073106,,N,,,Y,Y,1,,20160406,,20140320,1193665,1.37,,MC-FiveMile,N,,0,WL
CGCMT14GC19,,300571069,21,12450000,120,360,0.05415,0.05415,20140306,0,N,Y,1,3,Y,2,20160405,,,Lockout/25_Defeasance/91_0%/4,,,,,,,,,,,1,,,,,,N,,,119,360,20240206,12432408.05,0.05415,0.0001275,,,,,0.000005,0.0540175,70027.2,2,Wymberly Portfolio,,,,,Incomplete,,,420,,1214081.05,0.1,18500000,20131126,0.98,3486069.93,2271988.88,,N,,,Y,Y,1,,20160406,,20140320,1091025.05,1.3,,RMF,N,,0,WL
CGCMT14GC19,,300571070,22,12400000,120,360,0.0546,0.0546,20140306,0,N,Y,1,3,Y,2,20160405,,,Lockout/25_Defeasance/91_0%/4,,,,,,,,,,,1,,,,,,N,,,119,360,20240206,12382563.72,0.0546,0.0001275,,,,,0.000005,0.0544675,70094.95,1,Canyon Plaza,3417-3433 Broadway Street,American Canyon,California,94503,Incomplete,MU,72231,,2001,1204725.16,0.1,17500000,20131125,0.84,1581281.2,376556.04,,N,,,Y,Y,1,,20160406,,20140320,1116339.42,1.33,,RMF,N,,0,WL
CGCMT14GC19,,301670023,23,12375000,120,360,0.05248,0.05248,20140206,0,Y,Y,1,3,Y,5,20160405,20231005,,Lockout/26_>YM or 1%/90_0%/4,,,20160206,,,,,,,,1,,,,,,N,,,118,360,20240106,12375000,0.05248,0.0001275,0.0002,,,,0.000005,0.0523475,55924,5,Wheeler Food Lion Portfolio,,,,,Incomplete,,261689,,,1439563.6,0.12,17475000,,0.9,2104269.3,664705.7,,N,,,Y,Y,1,,,,20140320,1252532.04,1.53,,CCRE,N,,0,WL
CGCMT14GC19,,301670024,24,12000000,120,360,0.05164,0.05164,20140201,5,N,Y,1,3,Y,2,20160331,,,Lockout/26_Defeasance/90_0%/4,,,,,,,,,,,1,,,,,,N,,,118,360,20240101,11972934.12,0.05164,0.0001275,,,,,0.000005,0.0515075,64156.86,1,Tanyard Park Apartments,193 Tanyard Park Place,Louisville,Kentucky,40229,Incomplete,MF,,175,2004,1119830,0.09,16100000,20131119,0.91,1674476,554646,,N,,,Y,Y,1,,20160401,,20140320,1078355,1.4,,"RAIT Funding, LLC",N,,1,WL
CGCMT14GC19,,623100050,25,12000000,120,360,0.0497,0.0497,20140106,0,N,Y,1,3,Y,2,20160405,,,Lockout/27_Defeasance/89_0%/4,,,,,,,,,,,1,,,,,,N,,,117,360,20231206,11956349.27,0.0497,0.0001275,,,,,0.000005,0.0495675,64198.76,1,Oakridge Terrace Apartments,43339 Gadsden Avenue,Lancaster,California,93534,Incomplete,MF,,216,1987,1042456,0.09,16170000,20130923,0.96,1802571,760115,,N,,,Y,Y,1,,20160406,,20140320,988456,1.28,,MC-FiveMile,N,,0,WL
CGCMT14GC19,,301670026,26,10500000,120,360,0.05182,0.05182,20140306,0,N,Y,1,3,Y,2,20160405,,,Lockout/25_Defeasance/91_0%/4,,,,,,,,,,,1,,,,,,N,,,119,360,20240206,10484779.73,0.05182,0.0006275,,,,,0.000005,0.0511875,57539.94,1,Barnes Crossing Plaza,4262-4398 Mall Drive,Tupelo,Mississippi,38804,Incomplete,RT,157700,,1996,1164105.08,0.11,14100000,20131117,0.97,1542578.65,378473.57,,N,,,Y,Y,1,,20160406,,20140320,1036368.08,1.5,,CCRE,N,,0,WL
CGCMT14GC19,,625100052,27,10400000,120,360,0.0491,0.0491,20140105,0,Y,Y,1,3,Y,5,20160404,,,Lockout/27_Defeasance/90_0%/3,,,20150105,,,,,,,,1,,,,,,N,,,117,360,20231205,10400000,0.0491,0.0006275,,,,,0.000005,0.0484675,43971.78,1,Sugar House,2121 South McClelland Street,Salt Lake City,Utah,84106,Incomplete,MU ,49980,,1910,1008669,0.1,15000000,20131108,1,1383175,374506,,N,,,Y,Y,1,,20160405,,20140320,951192,1.43,,The Bancorp Bank,N,,0,WL
CGCMT14GC19,,301670028,28,10200000,120,360,0.05192,0.05192,20140206,0,N,Y,1,3,Y,2,20160405,,,Lockout/26_Defeasance/89_0%/5,,,,,,,,,,,1,,,,,,N,,,118,360,20240106,10174833.29,0.05192,0.0001275,,,,,0.000005,0.0517875,55958.91,1,Paddocks Office Building,3325 Paddocks Parkway,Suwanee,Georgia,30024,Incomplete,OF,96668,,2001,1068434,0.11,13900000,20131203,0.84,1651472,583038,,N,,,Y,Y,1,,20160406,,20140320,961538,1.43,,GSMC,N,,0,WL
